GEN,GenRKM,GenLat,GenLon,Region
BattleCk_CNFH_Rel,517.34,40.39,-122.14,Battle Ck
BattleCk4,508.25,40.36,-122.17,Battle Ck
Blw_Paynes_Ck,476.27,40.25,-122.17,Upper Sac R
Abv_Altube1,460.4,40.15,-122.18,Upper Sac R
Mill_Ck_Conf,441.31,40.03,-122.11,Upper Sac R
Abv_WoodsonBr,425.15,39.92,-122.08,Upper Sac R
Blw_IrvineFinch,394.66,39.73,-121.97,Upper Sac R
BlwOrd,361.72,39.56,-122,Upper Sac R
ButteBr,344.1,39.45,-121.99,Lower Sac R
Colusa AC2,318.61,39.28,-122.01,Lower Sac R
Colusa BC2,296.27,39.18,-121.94,Lower Sac R
Blw_Knights_GS3,212.8,38.754999999999995,-121.67,Lower Sac R
Blw_Elkhorn_GS1,191.92,38.64,-121.57,Lower Sac R
TowerBridge,172,38.58,-121.5,Lower Sac R
Hood,138.22,38.36,-121.52,Lower Sac R
Chipps,71.47999999999999,38.04,-121.905,West Delta
BeniciaW,52.04,38.04,-122.12,Carquinez Strait
GoldenGateE,1.71,37.82,-122.46,SF Bay
GoldenGateW,0.8,37.82,-122.46,SF Bay
