GEN,GenRKM,GenLat,GenLon,Region
RBDD_Rel,461.57,40.15,-122.2,Upper Sac R
Blw_Salt,456.88,40.14,-122.15,Upper Sac R
Mill_Ck_Conf,441.31,40.03,-122.11,Upper Sac R
Abv_WoodsonBr,425.15,39.92,-122.08,Upper Sac R
GCID_abv,406.11,39.8,-122.05,Upper Sac R
Blw_IrvineFinch,394.66,39.73,-121.97,Upper Sac R
BlwOrd,361.72,39.56,-122,Upper Sac R
ButteBr,344.1,39.45,-121.99,Lower Sac R
Colusa AC2,318.61,39.28,-122.01,Lower Sac R
Colusa BC2,296.27,39.18,-121.94,Lower Sac R
AbvTisdale,269.23,39.03,-121.82,Lower Sac R
Knights_RST,222.05,38.79,-121.69,Lower Sac R
Blw_FRConf,203.46,38.78,-121.61,Lower Sac R
I80-50_Br,170.74,38.57,-121.51,Lower Sac R
Freeport,152.43,38.46,-121.5,Lower Sac R
Hood,138.22,38.36,-121.52,Lower Sac R
