GEN,GenRKM,GenLat,GenLon,Region
Bonnyview,540.225,40.53,-122.35,Upper Sac R
Blw_ClearCr,535.62,40.5,-122.36,Upper Sac R
BlwCowCr,520.69,40.46,-122.22,Upper Sac R
Battle_Conf,507.48,40.35,-122.17,Upper Sac R
Blw_Salt,456.88,40.14,-122.15,Upper Sac R
Mill_Ck_Conf,441.31,40.03,-122.11,Upper Sac R
Blw_Woodson,421.4,39.89,-122.06,Upper Sac R
GCID_abv,406.11,39.8,-122.05,Upper Sac R
Blw_IrvineFinch,394.66,39.73,-121.97,Upper Sac R
BlwOrd,361.72,39.56,-122,Upper Sac R
ButteBr,344.1,39.45,-121.99,Lower Sac R
Colusa AC2,318.61,39.28,-122.01,Lower Sac R
Colusa BC4,280.4,39.09,-121.89,Lower Sac R
AbvTisdale,269.23,39.03,-121.82,Lower Sac R
BlwTisdale,261.4,38.98,-121.8,Lower Sac R
BlwChinaBend,240.61,38.88,-121.81,Lower Sac R
Knights_RST,222.05,38.79,-121.69,Lower Sac R
Blw_Elkhorn_GS1,191.92,38.64,-121.57,Lower Sac R
TowerBridge,172,38.58,-121.5,Lower Sac R
Chipps,71.47999999999999,38.04,-121.905,West Delta
Benicia,52.14,38.04,-122.12,Carquinez Strait
GoldenGateE,1.71,37.82,-122.46,SF Bay
GoldenGateW,0.8,37.82,-122.46,SF Bay
