estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Reach,RKM,Region,reach_num
0.9593826,0.0086819,0.9385096,0.9733712,BattleCk_CNFH_Rel,BattleCk1,517.34,516.98,"BattleCk_CNFH_Rel to 
BattleCk1",517.34 to 516.98,Battle Ck,1
0.8469185,0.0160545,0.8127415,0.8758109,BattleCk1,BattleCk2,516.98,515.33,"BattleCk1 to 
BattleCk2",516.98 to 515.33,Battle Ck,2
0.7930414,0.0181401,0.7552347,0.8263513,BattleCk2,BattleCk3,515.33,511.45,"BattleCk2 to 
BattleCk3",515.33 to 511.45,Battle Ck,3
0.7930415,0.0181401,0.7552347,0.8263513,BattleCk3,BattleCk4,511.45,508.25,"BattleCk3 to 
BattleCk4",511.45 to 508.25,Battle Ck,4
0.9735682,0.0075287,0.9540415,0.9849295,BattleCk4,Blw_Paynes_Ck,508.25,476.27,"BattleCk4 to 
Blw_Paynes_Ck",508.25 to 476.27,Battle Ck,5
0.9733924,0.0075781,0.9537397,0.9848289,Blw_Paynes_Ck,Abv_RBPP,476.27,463.22,"Blw_Paynes_Ck to 
Abv_RBPP",476.27 to 463.22,Upper Sac R,6
0.968956,0.008167,0.9482728,0.9815301,Abv_RBPP,Abv_Altube1,463.22,460.4,"Abv_RBPP to 
Abv_Altube1",463.22 to 460.4,Upper Sac R,7
0.9733906,0.0075786,0.9537366,0.9848278,Abv_Altube1,Abv_Altube2,460.4,460.07,"Abv_Altube1 to 
Abv_Altube2",460.4 to 460.07,Upper Sac R,8
0.9620535,0.009027,0.9398139,0.9762827,Abv_Altube2,JV_Glide1,460.07,458.67,"Abv_Altube2 to 
JV_Glide1",460.07 to 458.67,Upper Sac R,9
0.9217002,0.0127064,0.8928882,0.9432545,JV_Glide1,Blw_Salt,458.67,456.88,"JV_Glide1 to 
Blw_Salt",458.67 to 456.88,Upper Sac R,10
0.9708519,0.0079655,0.950456,0.9830016,Blw_Salt,BankRobber,456.88,452.55,"Blw_Salt to 
BankRobber",456.88 to 452.55,Upper Sac R,11
0.9549549,0.0098429,0.9312156,0.9707584,BankRobber,Hunters,452.55,450.355,"BankRobber to 
Hunters",452.55 to 450.355,Upper Sac R,12
0.9727272,0.0077648,0.9525984,0.984448,Hunters,Lwr_Ant_Crk,450.355,447.29999999999995,"Hunters to 
Lwr_Ant_Crk",450.355 to 447.3,Upper Sac R,13
0.8511628,0.0171644,0.8142993,0.8817709,Lwr_Ant_Crk,Mill_Ck_Conf,447.29999999999995,441.31,"Lwr_Ant_Crk to 
Mill_Ck_Conf",447.3 to 441.31,Upper Sac R,14
0.9741176,0.0077022,0.9538764,0.98561,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,Upper Sac R,15
0.9667458,0.0087385,0.9446423,0.9802086,Abv_WoodsonBr,Blw_Woodson,425.15,421.4,"Abv_WoodsonBr to 
Blw_Woodson",425.15 to 421.4,Upper Sac R,16
0.975,0.0078062,0.9541682,0.9864972,Blw_Woodson,Abv_Otter_Island,421.4,419.39,"Blw_Woodson to 
Abv_Otter_Island",421.4 to 419.39,Upper Sac R,17
0.9728996,0.008453,0.9503746,0.985358,Abv_Otter_Island,GCID_abv,419.39,406.11,"Abv_Otter_Island to 
GCID_abv",419.39 to 406.11,Upper Sac R,18
0.94871780000000006,0.0124875,0.9179414,0.9683494,GCID_abv,Blw_IrvineFinch,406.11,394.66,"GCID_abv to 
Blw_IrvineFinch",406.11 to 394.66,Upper Sac R,19
0.96875,0.0102526,0.9410441,0.9836617,Blw_IrvineFinch,BlwOrd,394.66,361.72,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,Upper Sac R,20
0.7849462,0.0245975,0.732849,0.829251,BlwOrd,ButteBr,361.72,344.1,"BlwOrd to 
ButteBr",361.72 to 344.1,Upper Sac R,21
