GEN,min_time,max_time,fish_interval
Abv_Altube1,2017-12-23T00:35:50Z,2018-02-21T21:33:06Z,2017-12-23 00:35:50 UTC--2018-02-21 21:33:06 UTC
Abv_Altube2,2017-12-23T00:41:26Z,2018-01-23T05:10:51Z,2017-12-23 00:41:26 UTC--2018-01-23 05:10:51 UTC
Abv_FremontWeir,2017-12-30T00:52:09Z,2018-03-02T10:51:04Z,2017-12-30 00:52:09 UTC--2018-03-02 10:51:04 UTC
Abv_Otter_Island,2017-12-23T12:35:27Z,2018-02-24T20:34:39Z,2017-12-23 12:35:27 UTC--2018-02-24 20:34:39 UTC
Abv_RBPP,2017-12-22T16:49:46Z,2018-02-21T20:32:44Z,2017-12-22 16:49:46 UTC--2018-02-21 20:32:44 UTC
Abv_WoodsonBr,2017-12-23T10:18:39Z,2018-01-25T15:04:26Z,2017-12-23 10:18:39 UTC--2018-01-25 15:04:26 UTC
AbvColusaBr,2017-12-27T11:52:38Z,2018-02-28T20:17:21Z,2017-12-27 11:52:38 UTC--2018-02-28 20:17:21 UTC
AbvTisdale,2017-12-28T01:50:27Z,2018-03-01T11:03:15Z,2017-12-28 01:50:27 UTC--2018-03-01 11:03:15 UTC
AntiochBridge,2018-01-15T22:34:16Z,2018-01-21T01:58:33Z,2018-01-15 22:34:16 UTC--2018-01-21 01:58:33 UTC
BankRobber,2017-12-23T02:29:35Z,2018-02-23T22:59:35Z,2017-12-23 02:29:35 UTC--2018-02-23 22:59:35 UTC
BaseSutterSteam,2018-01-10T19:40:36Z,2018-01-17T15:19:01Z,2018-01-10 19:40:36 UTC--2018-01-17 15:19:01 UTC
BattleCk_CNFH_Rel,2017-12-21T20:30:00Z,2018-01-05T22:00:00Z,2017-12-21 20:30:00 UTC--2018-01-05 22:00:00 UTC
BattleCk1,2017-12-21T21:30:38Z,2018-01-31T09:53:55Z,2017-12-21 21:30:38 UTC--2018-01-31 09:53:55 UTC
BattleCk2,2017-12-22T01:55:43Z,2018-01-20T02:42:26Z,2017-12-22 01:55:43 UTC--2018-01-20 02:42:26 UTC
