StudyID,GPSname,GEN,Region,rec_days_overlap,num_days_study,DataCoverage,CoverageProblem,interval,StudyID_interval
ColemanLateFall_2018,Woodson1,Abv_WoodsonBr,Upper Sac R,88,88.55195601851852,full,There are some time gaps It seems after It went off for several days. When it came back on 03/13/2018 19:27:17 it was 2.84 days behind. unfortunately adjacent ATS 15022 locked up and only ran for 3 days. But there is Blw_Woodson 16056 just 4rkm downstream,2017-12-20 15:16:00 UTC--2018-03-28 09:25:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Woodson2,Abv_WoodsonBr,Upper Sac R,88,88.55195601851852,partial,Lock up. No detects at all after 12/23/2017 21:01:59. But tilt and temp vary.,2017-12-20 15:33:00 UTC--2018-03-28 10:00:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Colusa1,AbvColusaBr,Lower Sac R,55,88.55195601851852,full,NA,2017-11-16 13:25:00 UTC--2018-02-15 12:11:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Colusa2,AbvColusaBr,Lower Sac R,55,88.55195601851852,full,NA,2017-11-16 13:54:00 UTC--2018-02-15 12:30:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Colusa1,AbvColusaBr,Lower Sac R,32,88.55195601851852,full,left out after batts died,2018-02-15 12:23:00 UTC--2018-06-28 11:10:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Colusa2,AbvColusaBr,Lower Sac R,32,88.55195601851852,partial,NA,2018-02-15 12:40:00 UTC--2018-06-28 11:22:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Benicia03,BeniciaW,Carquinez Strait,10,88.55195601851852,full,NA,2018-03-09 15:14:00 UTC--2018-04-25 17:38:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Benicia08,BeniciaW,Carquinez Strait,45,88.55195601851852,full,lost two days batts died,2018-01-23 10:18:00 UTC--2018-03-09 11:40:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Benicia07,BeniciaW,Carquinez Strait,45,88.55195601851852,full,lost 3 days. Batts died.,2018-01-23 11:00:00 UTC--2018-03-09 11:17:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
ColemanLateFall_2018,Benicia06,BeniciaW,Carquinez Strait,44,88.55195601851852,none,corrupt card. Nancy could not recover.,2018-01-23 11:38:00 UTC--2018-03-09 11:02:00 UTC,2017-12-21 20:30:00 UTC--2018-03-20 09:44:49 UTC
