cum.phi,cum.phi.se,LCI,UCI,StudyID,survival_to,survival_to_rkm,reach_num,Region
1,NA,NA,NA,Winter_H_2018,Bonnyview,540.225,1,Upper Sac R
0.945,0.009,0.923,0.961,Winter_H_2018,Blw_ClearCr,535.62,2,Upper Sac R
0.92,0.011,0.895,0.939,Winter_H_2018,BlwCowCr,520.69,3,Upper Sac R
0.91,0.012,0.884,0.93,Winter_H_2018,Battle_Conf,507.48,4,Upper Sac R
0.83,0.015,0.798,0.858,Winter_H_2018,Blw_Salt,456.88,5,Upper Sac R
0.811,0.017,0.776,0.842,Winter_H_2018,Mill_Ck_Conf,441.31,6,Upper Sac R
0.762,0.018,0.726,0.794,Winter_H_2018,Blw_Woodson,421.4,7,Upper Sac R
0.668,0.02,0.628,0.705,Winter_H_2018,GCID_abv,406.11,8,Upper Sac R
0.573,0.021,0.531,0.614,Winter_H_2018,Blw_IrvineFinch,394.66,9,Upper Sac R
0.427,0.021,0.387,0.468,Winter_H_2018,BlwOrd,361.72,10,Upper Sac R
0.367,0.021,0.328,0.408,Winter_H_2018,ButteBr,344.1,11,Lower Sac R
0.322,0.019,0.285,0.36,Winter_H_2018,Colusa AC2,318.61,12,Lower Sac R
0.303,0.019,0.268,0.341,Winter_H_2018,Colusa BC4,280.4,13,Lower Sac R
0.298,0.019,0.262,0.336,Winter_H_2018,AbvTisdale,269.23,14,Lower Sac R
0.296,0.019,0.261,0.334,Winter_H_2018,BlwTisdale,261.4,15,Lower Sac R
0.296,0.019,0.261,0.334,Winter_H_2018,BlwChinaBend,240.61,16,Lower Sac R
0.289,0.019,0.254,0.327,Winter_H_2018,Knights_RST,222.05,17,Lower Sac R
0.277,0.018,0.242,0.315,Winter_H_2018,Blw_Elkhorn_GS1,191.92,18,Lower Sac R
0.277,0.018,0.242,0.315,Winter_H_2018,TowerBridge,172,19,Lower Sac R
0.203,0.016,0.172,0.237,Winter_H_2018,Chipps,71.47999999999999,20,West Delta
0.194,0.017,0.162,0.229,Winter_H_2018,Benicia,52.14,21,Carquinez Strait
0.127,0.016,0.099,0.161,Winter_H_2018,GoldenGateE,1.71,22,SF Bay
0.095,0.012,0.074,0.122,Winter_H_2018,GoldenGateW,0.8,23,SF Bay
