estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Reach,RKM,Region,reach_num
1,0,1,1,Bonnyview,Blw_ClearCr,540.225,535.62,"Bonnyview to 
Blw_ClearCr",540.225 to 535.62,Upper Sac R,1
1,0,1,1,Blw_ClearCr,BlwCowCr,535.62,520.69,"Blw_ClearCr to 
BlwCowCr",535.62 to 520.69,Upper Sac R,2
1,9.195693e-11,1,1,BlwCowCr,Battle_Conf,520.69,507.48,"BlwCowCr to 
Battle_Conf",520.69 to 507.48,Upper Sac R,3
0.9980159,0.0019822,0.9860557,0.9997206,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,"Battle_Conf to 
Blw_Paynes_Ck",507.48 to 476.27,Upper Sac R,4
0.9761842,0.0067926,0.9585383,0.9864264,Blw_Paynes_Ck,RB_Elks,476.27,464.5,"Blw_Paynes_Ck to 
RB_Elks",476.27 to 464.5,Upper Sac R,5
0.9325336,0.0111732,0.9070548,0.9514022,RB_Elks,Abv_RBPP,464.5,463.22,"RB_Elks to 
Abv_RBPP",464.5 to 463.22,Upper Sac R,6
0.9779117,0.0065858999999999996,0.9605613,0.9877266,Abv_RBPP,Abv_Altube1,463.22,460.4,"Abv_RBPP to 
Abv_Altube1",463.22 to 460.4,Upper Sac R,7
0.9778226,0.0066122,0.9604041,0.9876769,Abv_Altube1,JV_Glide1,460.4,458.67,"Abv_Altube1 to 
JV_Glide1",460.4 to 458.67,Upper Sac R,8
0.9716024,0.007481,0.9526288,0.9831113,JV_Glide1,Blw_Salt,458.67,456.88,"JV_Glide1 to 
Blw_Salt",458.67 to 456.88,Upper Sac R,9
0.9837067,0.0057134,0.9677637,0.9918314,Blw_Salt,BankRobber,456.88,452.55,"Blw_Salt to 
BankRobber",456.88 to 452.55,Upper Sac R,10
0.9856557,0.0053826,0.9702226,0.9931466,BankRobber,Hunters,452.55,450.355,"BankRobber to 
Hunters",452.55 to 450.355,Upper Sac R,11
0.9979188,0.002079,0.9853814,0.9997069,Hunters,Lwr_Ant_Crk,450.355,447.29999999999995,"Hunters to 
Lwr_Ant_Crk",450.355 to 447.3,Upper Sac R,12
0.7725163,0.0189774,0.7331995,0.8075599,Lwr_Ant_Crk,Mill_Ck_Conf,447.29999999999995,441.31,"Lwr_Ant_Crk to 
Mill_Ck_Conf",447.3 to 441.31,Upper Sac R,13
0.9756097,0.0072637,0.9565023,0.9864427,Mill_Ck_Conf,Blw_Woodson,441.31,421.4,"Mill_Ck_Conf to 
Blw_Woodson",441.31 to 421.4,Upper Sac R,14
