estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Reach,RKM,Region,reach_num
0.5138576,0.0141892,0.4860326,0.5415969,Caldwell_Park_Rel,Caldwell_Park,551.28,551.08,"Caldwell_Park_Rel to 
Caldwell_Park",551.28 to 551.08,Upper Sac R,1
0.5146669,0.0141892,0.4868394,0.5424037,Caldwell_Park,Blw_Cypress,551.08,543.9,"Caldwell_Park to 
Blw_Cypress",551.08 to 543.9,Upper Sac R,2
0.4808915,0.0141829,0.4531807,0.5087204,Blw_Cypress,Bonnyview_Rel,543.9,540.25,"Blw_Cypress to 
Bonnyview_Rel",543.9 to 540.25,Upper Sac R,3
0.4784793,0.0141799,0.4507816,0.5063099,Bonnyview_Rel,Bonnyview,540.25,540.225,"Bonnyview_Rel to 
Bonnyview",540.25 to 540.225,NA,4
1,0,1,1,Bonnyview,Blw_ClearCr,540.225,535.62,"Bonnyview to 
Blw_ClearCr",540.225 to 535.62,Upper Sac R,5
0.8353451,0.010889,0.8128786,0.8555934,Blw_ClearCr,BlwCowCr,535.62,520.69,"Blw_ClearCr to 
BlwCowCr",535.62 to 520.69,Upper Sac R,6
0.6154517,0.014497,0.5866732,0.6434442,BlwCowCr,Battle_Conf,520.69,507.48,"BlwCowCr to 
Battle_Conf",520.69 to 507.48,Upper Sac R,7
0.835145,0.0111673,0.8120766,0.8558842,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,"Battle_Conf to 
Blw_Paynes_Ck",507.48 to 476.27,Upper Sac R,8
0.4452748,0.0149589,0.4161785,0.4747512,Blw_Paynes_Ck,RB_Elks,476.27,464.5,"Blw_Paynes_Ck to 
RB_Elks",476.27 to 464.5,Upper Sac R,9
0.4253644,0.0148802,0.3964906,0.4547564,RB_Elks,Abv_RBPP,464.5,463.22,"RB_Elks to 
Abv_RBPP",464.5 to 463.22,Upper Sac R,10
0.6555304,0.0143384,0.6269102,0.6830651,Abv_RBPP,Abv_Altube1,463.22,460.4,"Abv_RBPP to 
Abv_Altube1",463.22 to 460.4,Upper Sac R,11
0.3196165,0.0140416,0.2927444,0.3477425,Abv_Altube1,Abv_Altube2,460.4,460.07,"Abv_Altube1 to 
Abv_Altube2",460.4 to 460.07,Upper Sac R,12
0.4441399,0.0150359,0.4148991,0.4737727,Abv_Altube2,JV_Glide1,460.07,458.67,"Abv_Altube2 to 
JV_Glide1",460.07 to 458.67,Upper Sac R,13
0.8521974,0.010855,0.8296328,0.8722337,JV_Glide1,Blw_Salt,458.67,456.88,"JV_Glide1 to 
Blw_Salt",458.67 to 456.88,Upper Sac R,14
0.4522751,0.0152202,0.4226495,0.4822427,Blw_Salt,BankRobber,456.88,452.55,"Blw_Salt to 
BankRobber",456.88 to 452.55,Upper Sac R,15
0.4513418,0.0152174,0.4217251,0.4813072,BankRobber,Hunters,452.55,450.355,"BankRobber to 
Hunters",452.55 to 450.355,Upper Sac R,16
0.4541398,0.0152257,0.4244969,0.4841115,Hunters,Lwr_Ant_Crk,450.355,447.29999999999995,"Hunters to 
Lwr_Ant_Crk",450.355 to 447.3,Upper Sac R,17
0.6014786,0.0149891,0.5717676,0.6304605,Lwr_Ant_Crk,Mill_Ck_Conf,447.29999999999995,441.31,"Lwr_Ant_Crk to 
Mill_Ck_Conf",447.3 to 441.31,Upper Sac R,18
0.3733868,0.0152427,0.3440256,0.4037116,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,Upper Sac R,19
0.4290825,0.0156285,0.398759,0.459948,Abv_WoodsonBr,Blw_Woodson,425.15,421.4,"Abv_WoodsonBr to 
Blw_Woodson",425.15 to 421.4,Upper Sac R,20
0.4329484,0.0156493,0.4025697,0.4638397,Blw_Woodson,Abv_Otter_Island,421.4,419.39,"Blw_Woodson to 
Abv_Otter_Island",421.4 to 419.39,Upper Sac R,21
0.9426741,0.0078608,0.9251769,0.956273,Abv_Otter_Island,GCID_abv,419.39,406.11,"Abv_Otter_Island to 
GCID_abv",419.39 to 406.11,Upper Sac R,22
0.6291485,0.0157143,0.5978605,0.6593891,GCID_abv,GCID_blw,406.11,404.42,"GCID_abv to 
GCID_blw",406.11 to 404.42,Upper Sac R,23
0.3496935,0.0186757,0.3140289,0.3871227,GCID_blw,Blw_IrvineFinch,404.42,394.66,"GCID_blw to 
Blw_IrvineFinch",404.42 to 394.66,Upper Sac R,24
